ada,gnb,svm,majority,nn
0.9402460456942004,0.9402460456942004,0.9314586994727592,0.9472759226713532,0.9103690578564608
0.9279437609841829,0.9507908611599296,0.9349736379613356,0.952548330404218,0.9367310958922642
0.9138840070298768,0.9420035149384886,0.905096660808436,0.9402460456942004,0.9121265274150092
0.922671353251318,0.9490333919156416,0.9437609841827768,0.954305799648506,0.8804920774562078
0.9156414762741651,0.9437609841827768,0.8963093145869947,0.938488576449912,0.8506151084740677
0.9261862917398944,0.938488576449912,0.938488576449912,0.9420035149384886,0.8892794319531621
0.9121265377855888,0.936731107205624,0.92091388400703,0.9244288224956064,0.9015817144633596
0.9490333919156416,0.938488576449912,0.92091388400703,0.954305799648506,0.9297012231052446
0.9332161687170476,0.9279437609841829,0.9332161687170476,0.952548330404218,0.8980667767080565
0.945518453427065,0.9349736379613356,0.9121265377855888,0.9437609841827768,0.9173989363001605
0.9332161687170476,0.9560632688927944,0.952548330404218,0.952548330404218,0.9297012174485648
0.9349736379613356,0.9349736379613356,0.8980667838312829,0.9507908611599296,0.8734622008980683
0.9490333919156416,0.936731107205624,0.922671353251318,0.954305799648506,0.92442880908718
0.922671353251318,0.9472759226713532,0.9244288224956064,0.952548330404218,0.9121265203965359
0.9314586994727592,0.9402460456942004,0.92091388400703,0.9402460456942004,0.9332161627461076
0.938488576449912,0.922671353251318,0.9420035149384886,0.945518453427065,0.9068541252340708
0.9332161687170476,0.9244288224956064,0.9173989455184536,0.936731107205624,0.9279437549084896
0.905096660808436,0.938488576449912,0.9191564147627416,0.9191564147627416,0.9103690554471344
0.9437609841827768,0.9472759226713532,0.9314586994727592,0.954305799648506,0.9103690629893739
0.9420035149384886,0.9279437609841829,0.9297012302284711,0.952548330404218,0.9191564058587086
0.9156414762741651,0.9420035149384886,0.9138840070298768,0.9244288224956064,0.9173989357763938
0.9191564147627416,0.952548330404218,0.8840070298769771,0.945518453427065,0.8945518384289867
0.938488576449912,0.9332161687170476,0.9138840070298768,0.945518453427065,0.929701222581478
0.9261862917398944,0.936731107205624,0.9507908611599296,0.954305799648506,0.8840070174113309
0.9332161687170476,0.9314586994727592,0.936731107205624,0.9420035149384886,0.8927943642612919
0.9332161687170476,0.9332161687170476,0.9314586994727592,0.9437609841827768,0.8488576367156996
0.9173989455184536,0.9332161687170476,0.9437609841827768,0.9332161687170476,0.940246036056894
0.945518453427065,0.9402460456942004,0.9156414762741651,0.9595782073813708,0.9138840012684438
0.9402460456942004,0.9297012302284711,0.945518453427065,0.952548330404218,0.9472759126150336
